utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original,scoring_rule,reference_normalized,transcript_normalized,wer_normalized,wer_change
1272-128104-0003,1272,pitch_+3,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS MOTHER SIR FREDERICK LAYTON'S WORK IS GREAT GREAT AFTER ALL AND CAN DISCOVER IN IT A LITTLE OF ROCKY ITHACA ,0.25,0.2037106901407241,english_mr_mister_v1,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS MOTHER SIR FREDERICK LAYTON'S WORK IS GREAT GREAT AFTER ALL AND CAN DISCOVER IN IT A LITTLE OF ROCKY ITHACA,0.25,0.0
1272-128104-0004,1272,original,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LYNILLE'S PICTURES ARE A SORT OF UP GUARDS AND ATOM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BURKETT FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR A TURKISH BATH NEXT MAN ,0.1470588235294117,1.0,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LYNILLE'S PICTURES ARE A SORT OF UP GUARDS AND ATOM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MISTER BURKETT FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR A TURKISH BATH NEXT MAN,0.10294117647058823,-0.044117647058823456
1272-128104-0004,1272,pitch_-3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,THE NELL'S VICTORS ARE A SORT OF UP GUARD AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO HOME MR BURKE FOSTER'S LANDSCAPE SMILED AT ONE MUCH IN THE SAME WAY THAT MR CARCORD USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SINNER A CHEERFUL SLAP IN THE BACK BEFORE HE SAVES FROM A SHAMPOOER AND A TURKISH MOUTH NEXT MAN ,0.3088235294117647,0.3095255494117737,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,THE NELL'S VICTORS ARE A SORT OF UP GUARD AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO HOME MISTER BURKE FOSTER'S LANDSCAPE SMILED AT ONE MUCH IN THE SAME WAY THAT MISTER CARCORD USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SINNER A CHEERFUL SLAP IN THE BACK BEFORE HE SAVES FROM A SHAMPOOER AND A TURKISH MOUTH NEXT MAN,0.2647058823529412,-0.04411764705882354
1272-128104-0004,1272,pitch_+3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LIDELL'S PICTURES ARE A SORT OF UP GUARDS AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BIRKE FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP IN THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR IN A TURKISH BATH NEXT MAN ,0.1617647058823529,0.2440197169780731,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LIDELL'S PICTURES ARE A SORT OF UP GUARDS AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKE FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP IN THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR IN A TURKISH BATH NEXT MAN,0.11764705882352941,-0.044117647058823484
1272-128104-0005,1272,original,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION ,0.0,1.0,english_mr_mister_v1,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,0.0,0.0
1272-128104-0005,1272,pitch_-3,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE AND A DELICATE EXPRESSION ,0.1666666666666666,0.3622666895389557,english_mr_mister_v1,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE AND A DELICATE EXPRESSION,0.16666666666666666,5.551115123125783e-17
1272-128104-0005,1272,pitch_+3,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE EXPRESSION ,0.0555555555555555,0.2451344579458236,english_mr_mister_v1,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE EXPRESSION,0.05555555555555555,5.551115123125783e-17
1272-128104-0006,1272,original,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER WRITES WITH EQUAL LUCIDITY ,0.25,1.0,english_mr_mister_v1,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,0.16666666666666666,-0.08333333333333334
1272-128104-0006,1272,pitch_-3,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER BRACE WAS EQUAL TO CITY ,0.5833333333333334,0.2629800736904144,english_mr_mister_v1,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MISTER QUILTER BRACE WAS EQUAL TO CITY,0.5,-0.08333333333333337
1272-128104-0006,1272,pitch_+3,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,GENERAL PRINCIPLES OF ART AND MR QUILTER WRITES WITH EQUAL VICINITY ,0.4166666666666667,0.259088397026062,english_mr_mister_v1,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,GENERAL PRINCIPLES OF ART AND MISTER QUILTER WRITES WITH EQUAL VICINITY,0.3333333333333333,-0.08333333333333337
1272-128104-0007,1272,original,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACTOR ,0.0526315789473684,1.0,english_mr_mister_v1,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACTOR,0.05263157894736842,2.0816681711721685e-17
1272-128104-0007,1272,pitch_-3,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING TELLS US IS A DIFFERENT QUANTITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE EFFECT ,0.3157894736842105,0.2564675211906433,english_mr_mister_v1,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING TELLS US IS A DIFFERENT QUANTITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE EFFECT,0.3157894736842105,0.0
1272-128104-0007,1272,pitch_+3,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE FACTS ,0.1578947368421052,0.2193678617477417,english_mr_mister_v1,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE FACTS,0.15789473684210525,5.551115123125783e-17
1272-128104-0008,1272,original,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR ETCHINGS THERE ARE TWO KINDS BRITISH AND FOREIGN ,0.1818181818181818,1.0,english_mr_mister_v1,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR ETCHINGS THERE ARE TWO KINDS BRITISH AND FOREIGN,0.18181818181818182,2.7755575615628914e-17
1272-128104-0008,1272,pitch_-3,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN ,0.3636363636363636,0.1902377158403396,english_mr_mister_v1,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN,0.36363636363636365,5.551115123125783e-17
1272-128104-0008,1272,pitch_+3,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AND AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN ,0.4545454545454545,0.2785000205039978,english_mr_mister_v1,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AND AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN,0.45454545454545453,5.551115123125783e-17
1272-128104-0009,1272,original,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTERER ,0.0465116279069767,1.0,english_mr_mister_v1,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTERER,0.046511627906976744,4.163336342344337e-17
1272-128104-0009,1272,pitch_-3,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE THEN HAD SUPPOSED TO BRING AWAY THE NEW ARTS THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES THE NEXT CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING OF HOLSTER ,0.3255813953488372,0.2600383460521698,english_mr_mister_v1,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE THEN HAD SUPPOSED TO BRING AWAY THE NEW ARTS THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES THE NEXT CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING OF HOLSTER,0.32558139534883723,5.551115123125783e-17
1272-128104-0009,1272,pitch_+3,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LIMITS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES A CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTER ,0.1162790697674418,0.2060733586549759,english_mr_mister_v1,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LIMITS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES A CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTER,0.11627906976744186,5.551115123125783e-17
1272-128104-0010,1272,original,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MENTAL BOARD ,0.0666666666666666,1.0,english_mr_mister_v1,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MENTAL BOARD,0.06666666666666667,6.938893903907228e-17
1272-128104-0010,1272,pitch_-3,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,HERE FIRE ANYWHERE MUST SPREAD BROTHEL FROM INDIA ON THE NIGHT OF WAR ,0.7333333333333333,0.2228772044181823,english_mr_mister_v1,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,HERE FIRE ANYWHERE MUST SPREAD BROTHEL FROM INDIA ON THE NIGHT OF WAR,0.7333333333333333,0.0
