utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original
1272-128104-0005,1272,original,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION ,0.0,1.0
1272-128104-0005,1272,pitch_-3,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE AND A DELICATE EXPRESSION ,0.16666666666666666,0.3622666895389557
1272-128104-0005,1272,pitch_+3,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE EXPRESSION ,0.05555555555555555,0.24513445794582367
1272-128104-0006,1272,original,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER WRITES WITH EQUAL LUCIDITY ,0.25,1.0
1272-128104-0006,1272,pitch_-3,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER BRACE WAS EQUAL TO CITY ,0.5833333333333334,0.26298007369041443
1272-128104-0006,1272,pitch_+3,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,GENERAL PRINCIPLES OF ART AND MR QUILTER WRITES WITH EQUAL VICINITY ,0.4166666666666667,0.259088397026062
1272-128104-0007,1272,original,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACTOR ,0.05263157894736842,1.0
1272-128104-0007,1272,pitch_-3,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING TELLS US IS A DIFFERENT QUANTITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE EFFECT ,0.3157894736842105,0.2564675211906433
1272-128104-0007,1272,pitch_+3,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY OF MATHEMATICS AND THE FINISH IN ART IS ADDING MORE FACTS ,0.15789473684210525,0.2193678617477417
1272-128104-0008,1272,original,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR ETCHINGS THERE ARE TWO KINDS BRITISH AND FOREIGN ,0.18181818181818182,1.0
1272-128104-0008,1272,pitch_-3,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN ,0.36363636363636365,0.19023771584033966
1272-128104-0008,1272,pitch_+3,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AND AS FOR EDGINGS THERE ARE FEW KINDS BRITISH AND FOREIGN ,0.45454545454545453,0.2785000205039978
1272-128104-0009,1272,original,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTERER ,0.046511627906976744,1.0
1272-128104-0009,1272,pitch_-3,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE THEN HAD SUPPOSED TO BRING AWAY THE NEW ARTS THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES THE NEXT CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING OF HOLSTER ,0.32558139534883723,0.2600383460521698
1272-128104-0009,1272,pitch_+3,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LIMITS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES A CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTER ,0.11627906976744186,0.2060733586549759
1272-128104-0010,1272,original,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MENTAL BOARD ,0.06666666666666667,1.0
1272-128104-0010,1272,pitch_-3,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,HERE FIRE ANYWHERE MUST SPREAD BROTHEL FROM INDIA ON THE NIGHT OF WAR ,0.7333333333333333,0.22287720441818237
1272-128104-0010,1272,pitch_+3,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,DEAR FIRE ANY ARGUMENTS FRED BROUGHT HOME FROM INDIA ON THE BATTLE LORD ,0.4666666666666667,0.2733150124549866
1272-128104-0011,1272,original,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING,IN FACT HE IS QUITE SEVERE ON MR RUSKIN FOR NOT RECOGNIZING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY IN PHYLLIS OF THIS GRACE THAT MANY PHASES OF FEELING,0.17647058823529413,1.0
1272-128104-0011,1272,pitch_-3,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING,IN FACT HE IS QUITE SEVERE ON MR RUSKIN IF YOU'RE NOT RECOGNIZING THAT OBJECTORS SHOULD BE KNOWN TO A FILLED VIEW OF MAN AND REMARKS MUST PLEASE ENCOURAGE THE IMPULSE OF HIS GRACE THAT MANY FACES ARE FEELING,0.6176470588235294,0.2568855285644531
1272-128104-0011,1272,pitch_+3,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING,IN FACT HE IS QUITE SEVERE ON MR RUSKIN FOR NOT RECOGNIZING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS BOTH PLEASING COURTESY AND FALSE OF HIS GRACE THAT MANY FACES ARE FEELING,0.23529411764705882,0.1679478883743286
